"Input","Query"
"filmler tablosundan 2000 yılından sonraki Mısır yapımı filmleri göster","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Mısır” AND FimDate >2000"
"çiçekler tablosundan ıtır çiçeğini sil","DELETE FROM flowers WHERE Name =’ ıtır';"
"dersler tablosunda melis dervi adlı hocanın verdiği ders isimleri","SELECT LessonName FROM lessons WHERE Teacher= 'Ayse Deren'"
"müşteriler tablosundaki Türkiye de yaşayan tüm müşterilerin sayısı kaç","SELECT COUNT (*) FROM customers WHERE Country =""Turkiye"""
"hasta kabul tablosundan giriş tarihi son 3 saate ait olan erkek hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -3, GETDATE()) AND Gender= ‘erkek’"
"filmler tablosundaki en yüksek imdb puanı kaçtır","SELECT MAX(mdb_score) FROM films"
"çiçekler tablosundan iris kaydını sil","DELETE FROM flowers WHERE Name =’ iris';"
"çiçekler tablosundan inci çiçeği kaydını sil","DELETE FROM flowers WHERE Name =’ inci cicegi';"
"dersler tablosundan kredi sayısı 3 ün üstündeki dersleri sırala","SELECT * FROM lessons WHERE credit >3"
"dersler tablosunda hangi dersler 1 kredi","SELECT * FROM lessons WHERE credit= 1"
"personeller tablosundan telefon numarası olmayan kişileri listele","SELECT * FROM employees WHERE Phone_Number IS NULL"
"filmler tablosundan İngiliz yapımı filmleri film uzunluklarına göre sırala","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName='İngiltere' ORDER BY Duration"
"kitaplar tablosundaki Pragmatizm adlı kitabının yazar ismi nedir","SELECT author.AuthorName,author.AuthorSurname,books.Books_Name FROM Author INNER JOIN books ON author.AuthorID=books.AuthorID WHERE Books_Name=""pragmatizm"""
"çiçekler tablosundan kadife çiçeğini sil","DELETE FROM flowers WHERE Name =’ kadife çiçeği ';"
"filmler tablosundaki en yüksek imdb puanına sahip film hangisidir","SELECT FilmName FROM films WHERE Imdb_score= (SELECT MAX(Imdb_score) FROM Films);"
"yazar tablosundan 25 numaralı yazarı sil","DELETE FROM authors where authNo=25"
"ürünler tablosundan kulaklık en son ne zaerkek satıldı","SELECT MAX(DateOfSale) FROM products WHERE ProductName= “Kulaklık;"
"unvanlar tablosundan erkek uzerkek doktorları doğum tarihlerine göre sırala getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"" AND Gender=”erkek” ORDER BY Birth_Day"
"sehir tablosundaki en yüksek nüfuslu ilk 3 şehir hangisidir","SELECT * FROM cities ORDER BY Pop DESC LIMIT 3"
"hava durumları tablosunda en sıcak il hangisi","SELECT CityName FROM weatherConditions WHERE MAX(Temp)"
"unvanlar tablosundan uzerkek doktorların tümünü yazdır","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor """
"filmler tablosundaki en düşük imdb puanı kaçtır","SELECT MIN(Imdb_score) FROM films"
"öğrenciler tablosundan Ahmet Kete adlı öğrencinin tüm vize notlarını görüntüle","SELECT students.Name,notes.Visa FROM students INNER JOIN notes ON students.No=notes.No WHERE students.Name=”Ahmet Kete”"
"hava durumları tablosundan mersin ilinin bilgilerini getir","SELECT * FROM weatherConditions WHERE CityName=”mersin”"
"personeller tablosundan sadece kadınların adreslerini ekrana göster","SELECT Address FROM employees WHERE Gender=’kadın’"
"öğrenciler tablosundan 97310 numaralı öğrencinin final notlarını getir","SELECT students.No,Final FROM notes WHERE No= 97310"
"öğrenciler tablosundan 399973 numaralı öğrencinin final notlarını getir","SELECT students.No,Final FROM notes WHERE No= 399973;"
"çalışanlar tablosundan sadece kadın çalışanlara ait emailleri getir","SELECT Name,email FROM employees WHERE Gender=’kadın’"
"filmler tablosundaki korku filmlerini listele","SELECT films.Name,ctegories.CategoryName FROM films INNER JOIN categories ON films.CategoryNo=categories.CategoryNo WHERE categories.Name=”korku”"
"kitaplar tablosunda sayfa sayısı 700 ün üzerindeki kitap isimleri","SELECT Book_Name FROM books WHERE Page_Number>700"
"hava durumları tablosundan hatay ilinin bilgilerini getir","SELECT * FROM weatherConditions WHERE CityName=”hatay”"
"unvanlar tablosundan erkek cerrahları getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Cerrah"" AND Gender=”erkek”"
"filmler tablosundaki aşk filmlerini listele","SELECT films.Name,ctegories.CategoryName FROM films INNER JOIN categories ON films.CategoryNo=categories.CategoryNo WHERE categories.Name=”ask”"
"kitaplar tablosunda sayfa sayısı 700 ün üzerindeki kitapları sil","DELETE FROM books WHERE pageNum > 700;"
"kitaplar tablosundaki Diksiyon adlı kitabının yazarı kim","SELECT author.AuthorName,author.AuthorSurname,books.Books_Name FROM Author INNER JOIN books ON author.AuthorID=books.AuthorID WHERE Books_Name=""Diksiyon"""
"hava durumları tablosundan amasyanın sıcaklığı nedir","SELECT CityName FROM weatherConditions WHERE CityName=”amasya”"
"filmler tablosundan Türk yapımı filmleri ekrana getir","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Turkiye"
"öğrenciler tablosunda hukuk bölümüne ait öğrenciler kimler","SELECT programs.ProgramCode,programs.Name,students.Name FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Hukuk”"
"müşteriler tablosundaki sadece Türkiye de yaşayan tüm müşterileri getir","SELECT * FROM customers WHERE Country=""Turkiye"""
"kitaplar tablosunda sayfa sayısı 200 ün altındaki kitapları sil","DELETE FROM books WHERE pageNum< 200;"
"öğrenciler tablosunda tıp bölümünde okuyan öğrenciler öğrenciler kimler","SELECT programs.ProgramCode,programs.Name,students.Name FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Tıp”"
"hava durumları tablosundan gaziantep ilinin bilgilerini yazdır","SELECT * FROM weatherConditions WHERE CityName=”gaziantep”"
"unvanlar tablosundan ilk stajyerin bilgisini getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Stajyer"" ORDER BY TitleId ASC LIMIT 1"
"filmler tablosunda imdb puanı en yüksek olan ilk 3 filmleri göster","SELECT * FROM films ORDER BY Imdb_Score DESC LIMIT 3"
"kitaplar tablosunda sayfa sayısı 200 ün altındaki kitap kayıtlarını sil","DELETE FROM books WHERE pageNum< 200;"
"hastalar tablosundan kan grubu AB olan erkek hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB “ AND Gender =”erkek”"
"kitaplar tablosunda adam yayınlarına ait kitapları sırala","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN Yayınevi ON books.PubNo=pubHouse.PubNo WHERE PubName=""adam yayınları"""
"hammaddeler tablosundan kalan miktar 20 tondan yukarı olanları listele","SELECT Name,Remaining FROM rawMaterials WHERE Remaining >20"
"hava durumları tablosundan amasyanın sıcaklığı nedir","SELECT CityName FROM weatherConditions WHERE CityName=”amasya”"
"hava durumları tablosundan Edirne sıcaklığı","SELECT CityName FROM weatherConditions WHERE CityName=”edirne”"
"filmler tablosunda 2022 de çıkan ilk film hangisidir","SELECT FilmName FROM films WHERE FilmDate= 2022 ORDER BY FilmDate ASC LIMIT 1"
"kitaplar tablosunda sayfa sayısı 100 ün altındaki kitaplarn kayıtlarını sil","DELETE FROM books WHERE pageNum< 100;"
"hava durumları tablosunda en sıcak il hangisidir","SELECT CityName FROM weatherConditions WHERE MAX(Temp)"
"unvanlar tablosundaki ilk stajyerin bilgilerini yazdır","SELECT * FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Stajyer"" ORDER BY TitleId ASC LIMIT 1"
"kitaplar tablosunda sayfa sayısı 600 ün üzerindeki kitap isimleri neler","SELECT Book_Name,Page_Number FROM Kitap WHERE Page_Number>600"
"hava durumları tablosundan bartın ilinin sıcaklık bilgilerini getir","SELECT * FROM weatherConditions WHERE CityName=”bartın” ;"
"Müşteriler tablosundaki tüm kayıtları sil","DELETE FROM customers;;"
"ffilmler tablosundan peter robert jacksona ait filmler hangileridir","SELECT * FROM films WHERE Director = 'Peter Robert Jackson'"
"öğrenciler tablosunda hukuk bölümüne ait kaç öğrenciler var","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE program.Name=”Hukuk”"
"bölümler tablosundan Müzik bölümünde okuyan toplam öğrenci sayısı","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Müzik”"
"öğrenciler tablosunda kayıt yenilemeyen kişileri göster","SELECT * FROM students WHERE RenewReg= “False”"
"hasta kabul tablosundan çocukları göster","SELECT * FROM patient_admission WHERE Gender= ‘çocuk’"
"unvanlar tablosundan temizlikçi personellerini 1970 ten sonra doğan kişileri göster","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" AND Date_of_birth >1970"
"hava durumları tablosundan bursa ilinin sıcaklığı nedir","SELECT CityName FROM weatherConditions WHERE CityName=”’bursa”"
"siparişler tablosundaki 2022 yılına ait tüm siparişleri sil.","DELETE FROM orders WHERE Years= 2022;"
"sehirler tablosundaki en yüksek nüfuslu ilk 3 şehir nedir","SELECT * FROM cities ORDER BY Pop DESC LIMIT 3"
"hastalar tablosundan kan grubu 0 olan erkek hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”0 “ AND Gender =”erkek”"
"hasta kabul tablosundan id si 45 olan doktor kimdir","SELECT DoktorID FROM patient_admission WHERE DoktorID = 45;"
"hava durumları tablosunda en sıcak ilin bilgilerini getir","SELECT * FROM weatherConditions WHERE MAX(Temp)"
"sehirler tablosundaki en yüksek nüfuslu 3 şehri getir","SELECT * FROM cities ORDER BY Pop DESC LIMIT 3"
"filmler tablosundan 2000 yılından önceki İran yapımı filmleri göster","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""İran” AND FilmDate <2000"
"dersler tablosundan kredi sayısı 4 ün üstündeki dersleri listele","SELECT * FROM Dersler WHERE Kredi > 4;"
"Kategoriler tablosundaki ""Giyim"" kategorisi altındaki ürünleri sil.","DELETE FROM categorys WHERE category= 'Clothing';"
"dersler tablosunda hangi dersler 4 kredidir","SELECT * FROM Dersler WHERE Kredi= 3;"
"öğrenciler tablosundaki kız öğrencileri alfabetik sırala","SELECT * FROM students WHERE Gender = 'kadın’' ORDER BY Name ASC;"
"kitaplar tablosundaki çıkışlar ve inişler adlı kitabının yazarı kimdir","SELECT author.AuthorName,author.AuthorSurname,books.Books_Name FROM Author INNER JOIN books ON author.AuthorID=books.AuthorID WHERE Books_Name=""çıkışlar ve inişler"""
"Müşteriler tablosundaki adı ""John"" olan tüm müşterileri sil.","DELETE FROM Customers WHERE Name = 'John';"
"şehirler tablosundaki nüfusu az olan şehir hangisi","SELECT MIN(Pop) FROM cities;"
"unvanlar tablosundan temizlikçi personellerini listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"""
"kitaplar tablosundaki inişler ve çıkışlar adlı kitabının yazarı kim","SELECT author.AuthorName,author.AuthorSurname,books.Books_Name FROM Author INNER JOIN books ON author.AuthorID=books.AuthorID WHERE Books_Name=""inişler ve çıkışlar """
"hasta kabul tablosundan giriş tarihi son 4 saate ait olan erkek hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -4, GETDATE()) AND Gender= ‘erkek’"
"işçiler tablosundaki işçi isimlerini ve tüm maaşlarını sırala","SELECT Name ,Salary FROM employees"
"dersler tablosunda mesure öz hocanın verdiği ders isimlerini listele","SELECT LessonName FROM lessons WHERE Teacher= 'mesure öz'"
"hava durumları tablosundan malatya ilinin sıcaklığını görüntüle","SELECT CityName FROM weatherConditions WHERE CityName=”malatya”"
"Müşteriler tablosundaki adı ""ali"" olan tüm müşterileri sil.","DELETE FROM Customers WHERE Name = ‘ali;"
"şehirler tablosundaki nüfusu az olan şehiri yazdır","SELECT MIN(Pop ) FROM cities;"
"randevular tablosunu temizle","DELETE FROM appointments ;"
"randevular tablosundan Ali sahin adlı doktorun baktığı kadın hastaları göster","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”ali sahin ” AND Gender=”kadın”"
"öğrenciler tablosunda mimarlık bölümüne ait öğrenciler kimler","SELECT programs.ProgramCode,programs.Name,students.Name FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Mimarlık”"
"hastalar tablosundan kan grubu B olan erkek hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”B “ AND Gender =”erkek”"
"Müşteriler tablosundaki adı ""ayşe"" olan tüm müşterileri sil.","DELETE FROM Customers WHERE Name = ayse;"
"hava durumları tablosunda sıcaklığı en yüksek il hangisidir","SELECT * FROM weatherConditions WHERE MAX(Temp)"
"şehirler tablosundaki nüfusu az olan şehir ismi","SELECT MIN(Pop) FROM cities;"
"filmler tablosundan İngiliz yapımı filmlerden en uzun süreli filmi yazdır","SELECT films.Name, countries.CountryName, MAX(Duration) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""İngiltere”"
"hava durumları tablosunda en sıcak il","SELECT CityName FROM weatherConditions WHERE MAX(Temp)"
"kitaplar tablosunda can yayınlarına ait kitap isimlerini alfabetik sıraya göre listele","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN Yayınevi ON books.PubNo=pubHouse.PubNo WHERE PubName=""can yayınları"" ORDER BY Books_Name ASC"
"unvanlar tablosundan uzerkek doktorları listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"""
"müşteriler tablosunu temizle","DELETE FROM customer;"
"personeller tablosundan tüm kadınlara ait bilgileri getir","SELECT * FROM employees WHERE Gender = ‘kadın’"
"hava durumları tablosundaki eskişehir ilinin sıcaklığını getir","SELECT CityName FROM weatherConditions WHERE CityName=”’eskisehir”"
"tahliller tablosundan durumu acil olan erkek hastaları listele","SELECT patients.Name,tests.State FROM patients INNER JOIN tests ON patients.PatientId=tests.PatientId WHERE State=”Urgent” AND Gender=”erkek”"
"hava durumları tablosunda sıcaklığı en yüksek ilin bilgilerini getir","SELECT * FROM weatherConditions WHERE MAX(Temp)"
"personeller tablosundan sadece kadınların adreslerini ekrana yazdır","SELECT Address FROM employees WHERE Gender= 'Kadın'"
"sehir tablosundaki en yüksek nüfuslu şehir hangisidir","SELECT MAX(Pop) FROM cities ;"
"hava durumları tablosundan amasyanın sıcaklığı nedir","SELECT CityName FROM weatherConditions WHERE CityName=”amasya”"
"bölümler tablosundan biyoloji bölümündeki kız öğrencilerin isimleri ve mail adreslerini listele","SELECT programs.ProgramCode,programs.Name,students.Name,students.Mail FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Biyoloji” AND Gender=”kadın”"
